name	hardness	color	season	species
BILLINGS	Hard	Red	Winter	Triticum aestivum
CCW3A49	Hard	unknown	Winter	Triticum aestivum
LA95135	Soft	Red	Winter	Triticum aestivum
LCD-STAR	Hard	White	Spring	Triticum aestivum
SS_MPV57	Soft	Red	Winter	Triticum aestivum
MN99294-1	Hard	Red	Spring	Triticum aestivum
INAYAMA	unknown	unknown	Spring	Triticum aestivum
PI70613	unknown	unknown	Spring	Triticum aestivum
CI7635	unknown	unknown	Spring	Triticum aestivum
PBW343	unknown	unknown	Spring	Triticum aestivum
RAC875	unknown	unknown	Spring	Triticum aestivum
RSI5	Hard	Red	Spring	Triticum aestivum
UC1036	Hard	Red	Spring	Triticum aestivum
PATWIN515-HIGH_PROTEIN	Hard	White	Spring	Triticum aestivum
